Title,Description,Director,Genres,Cast,Origin_Country,Release_Date,Rating,Duration,Imdb_Rating,Type
Cycle,"When his prized bicycle is stolen, an astrologer’s search turns into a journey of self-realization — while the thieves learn a few lessons of their own.",Prakash Kunte,"Comedies, Dramas, International Movies","Hrishikesh Joshi, Bhalchandra Kadam, Priyadarshan Jadhav, Deepti Lele, Manoj Kolhatkar, Maithili Patwardhan",India,2018.0,TV-PG,96 min,8.1/10,Movie
Dangal,A once-promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the Commonwealth Games.,Nitesh Tiwari,"Dramas, International Movies, Sports Movies","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Aparshakti Khurana, Zaira Wasim, Suhani Bhatnagar, Ritwik Sahore",India,2016.0,TV-PG,161 min,8.4/10,Movie
Darc,"To bring down a global human trafficking ring, an Interpol agent recruits the help of a brutal criminal with inside knowledge of the yakuza.",Julius R. Nasso,"Action & Adventure, Independent Movies","Tony Schiena, Armand Assante, Kippei Shiina, Sho Ikushima, Vienna Hehir, Tetsu Watanabe, Grand Master John U. Kim, Dawn Olivieri",United States,2018.0,TV-MA,98 min,6.0/10,Movie
Deadcon,"A group of uber-popular, social media influencers’ trip to a digital media festival grows dark when an evil spirit wants to lure them to their demise.",Caryn Waechter,Horror Movies,"Lauren Elizabeth, Claudia Sulewski, Keith Machekanyanga, Mimi Gianopulos, Lukas Gage, Carl Gilliard, Caeli, Mark Dohner, Jessie Paege, Richard Kohnke, Dominic Burgess, Judah Mackey",United States,2019.0,TV-14,78 min,2.9/10,Movie
Deep,"After accidentally trapping his family in their underwater home, a young octopus and his ocean-dwelling buddies search for help far across the sea.",Julio Soto Gurpide,"Children & Family Movies, Comedies","Justin Felbinger, Stephen Erza  Hughes, Lindsey Alena, Elisabeth Catherine Gray, Dwight Schultz, Anna Vocino","Spain, Belgium, Switzerland, United States, China, United Kingdom",2017.0,PG,93 min,4.3/10,Movie
Defiance,"In this action-packed drama based on an extraordinary true story, four brothers protect more than 1,000 Jewish refugees during World War II.",Edward Zwick,"Action & Adventure, Dramas","Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos, Allan Corduner, Mark Feuerstein, Tomas Arana, Jodhi May, Kate Fahy, Iddo Goldberg, George MacKay, Iben Hjejle, Martin Hancock, Jacek Koman, Ravil Isyanov",United States,2008.0,R,137 min,7.3/10,Movie
Deliha,"Short on sense but long on self-confidence, dotty Deliha sets her sights on a hunky photographer who opens up shop in her neighborhood.",Hakan Algül,"Comedies, International Movies, Romantic Movies","Gupse Özay, Barış Arduç, Cihan Ercan",Turkey,2014.0,TV-MA,102 min,4.7/10,Movie
Delirium,A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.,Dennis Iliadis,"Horror Movies, Thrillers","Topher Grace, Genesis Rodriguez, Patricia Clarkson, Callan Mulvey, Robin Thomas, Daisy McCrackin",United States,2018.0,R,96 min,5.7/10,Movie
Demonic,"When amateur ghost hunters visit an abandoned house, their investigation turns into a massacre, leaving questions for a detective and a psychologist.",Will Canon,"Horror Movies, Independent Movies","Maria Bello, Frank Grillo, Cody Horn, Dustin Milligan, Megan Park, Scott Mechlowicz, Aaron Yoo, Alex Goode, Terence Rosemore, Jesse Steccato",United States,2015.0,R,83 min,5.1/10,Movie
Desire,A young woman arrives at her estranged sister's wedding to mend fences but falls prey to lust when she meets the groom.,Diego Kaplan,"Dramas, International Movies, Romantic Movies","Carolina Ardohain, Mónica Antonópulos, Guilherme Winter, Juan Sorini, Andrea Frigerio",Argentina,2017.0,TV-MA,94 min,4.1/10,Movie
Desperados,"After drunkenly sending a cringeworthy email, hopeless romantic Wes heads to Mexico with her best friends to erase the note before her new love reads it.",LP,"Comedies, Romantic Movies","Nasim Pedrad, Anna Camp, Lamorne Morris, Heather Graham, Robbie Amell, Sarah Burns, Jessica Chaffin",United States,2020.0,TV-MA,107 min,5.0/10,Movie
Destiny,"In 12th-century Spain, a philosopher and his profound teachings jeopardize the caliph he serves when political rivals threaten a government upheaval.",Youssef Chahine,"Dramas, International Movies","Nour El-Sherif, Laila Elwi, Mahmoud Hemeida, Safia el-Emari, Mohamed Mounir, Khaled El Nabawy, Seif Abdelrahman, Abdalla Mahmoud, Ahmed Fouad Selim, Magdi Idris","France, Egypt",1997.0,TV-14,136 min,7.3/10,Movie
Deuces,"Assigned to go undercover to take down an impenetrable crime ring, a detective finds himself falling under the sway of its enigmatic leader.",Jamal Hill,Dramas,"Larenz Tate, Meagan Good, Lance Gross, Antonique Smith, La La Anthony, Rick Gonzalez, Rotimi, Andra Fuller",United States,2016.0,TV-MA,88 min,6.1/10,Movie
Dhh,"Convinced only a miracle can save them from failing school exams, a trio of friends seek help from a magician. To their surprise, he gamely complies.",Manish Saini,"Children & Family Movies, Dramas, International Movies","Naseeruddin Shah, Kahaan, Kuldeep Sodha",India,2017.0,TV-G,127 min,7.7/10,Movie
Dil,A miser’s scheme to set his son up with a millionaire’s daughter backfires when the two actually fall in love — just as his sly charade is revealed.,Indra Kumar,"Comedies, Dramas, International Movies","Aamir Khan, Madhuri Dixit, Saeed Jaffrey, Deven Verma, Anupam Kher, Shammi, Padma Rani, Rajesh Puri, Satyendra Kapoor",India,1990.0,TV-14,165 min,6.8/10,Movie
Dilwale,"A young couple falls in love, but conflicting loyalties drive them apart. Years later, fate intervenes and hands them a second chance.",Rohit Shetty,"Action & Adventure, Dramas, International Movies","Shah Rukh Khan, Kajol, Kriti Sanon, Kabir Bedi, Varun Dhawan, Boman Irani, Johnny Lever, Varun Sharma, Sanjay Mishra, Vinod Khanna, Mukesh Tiwari, Pankaj Tripathi, Shawar Ali",India,2015.0,TV-PG,154 min,5.0/10,Movie
Disconnect,A group of singletons stumbles through the wild dating scene in Nairobi as two friends wonder if their relationship is more than platonic.,"David 'Tosh' Gitonga, Michael Jones","Comedies, International Movies, Romantic Movies","Brenda Wairimu, Nick Mutuma, Catherine Kamau, Pascal Tokodi, Patricia Kihoro, Pierra Makena, Bridget Shighadi, Brian Ogola, Illya Frank, Aseem Sharma, Arthur Sanya, Justin Mirichii, Maqbul Mohammed",Kenya,2018.0,TV-MA,107 min,5.9/10,Movie
Divines,A shrewd teenager and her wisecracking best friend plan to get rich or die trying by following in the footsteps of a flashy female drug dealer.,Houda Benyamina,"Dramas, Independent Movies, International Movies","Déborah Lukumuena, Jisca Kalvanda, Kévin Mischel, Majdouline Idrissi, Oulaya Amamra, Yasin Houicha","France, Qatar",2016.0,TV-MA,107 min,7.5/10,Movie
DNA,"Grieving the death of her grandfather, Neige navigates family conflict and questions her world in this meditation about cultural identity and roots.",Maïwenn,"Dramas, International Movies","Maïwenn, Fanny Ardant, Louis Garrel, Dylan Robert, Marine Vacth, Caroline Chaniolleau, Alain Françon, Florent Lacger, Henri-Noël Tabary, Omar Marwan","France, Algeria",2020.0,TV-MA,91 min,6.0/10,Movie
Dogwashers,"When a narco past his prime refuses to pay a debt to an upstart, only a secret stash of money can save his men. But guess what the gardener just found?",Carlos Moreno,"Comedies, Dramas, International Movies","Christian Tappan, Anderson Ballesteros, John Álex Toro, Ulises González, Leonor López, Hector Mauricio Mejia, Johnnie Castillo, Isabella Licht Delgado, Marlon Pérez Cruz, Kevin Andrés Muñoz",Colombia,2021.0,TV-MA,108 min,5.6/10,Movie
Don,"A ruthless crime boss and drug lord is nabbed and held captive by the authorities, who send his naïve look-alike to infiltrate the man's gang.",Farhan Akhtar,"Action & Adventure, International Movies","Shah Rukh Khan, Priyanka Chopra, Arjun Rampal, Isha Koppikar, Kareena Kapoor, Boman Irani, Om Puri, Pavan Malhotra",India,2006.0,TV-14,169 min,7.3/10,Movie
Dorasaani,A village landlord's daughter and an educated commoner must decide if their budding forbidden love is worth resisting a repressive social hierarchy.,KVR Mahendra,"Dramas, International Movies, Romantic Movies","Anand Deverakonda, Shivatmika Rajasekhar, Kannada Kishore",India,2019.0,TV-14,134 min,5.6/10,Movie
Dostana,"To win over a landlady who only accepts women as tenants, two men pose as a couple – but the jig may be up when they both fall for their flatmate.",Tarun Mansukhani,"Comedies, Dramas, International Movies","Abhishek Bachchan, John Abraham, Priyanka Chopra, Bobby Deol, Kiron Kher, Sushmita Mukherjee, Shrey Bawa, Boman Irani","India, United States",2008.0,TV-14,142 min,6.4/10,Movie
Dovlatov,"Over six days in 1971, brilliant writer Sergei Dovlatov encounters maddening barriers to publishing his work under the repressive Soviet regime.",Aleksey German,"Dramas, International Movies","Milan Maric, Danila Kozlovsky, Helena Sujecka, Artur Beschastny, Anton Shagin, Svetlana Khodchenkova, Elena Lyadova, Piotr Gasowski, Eva Gerr, Hanna Sleszynska","Russia, Poland, Serbia",2018.0,PG-13,126 min,6.5/10,Movie
Drishyam,An unexceptional man becomes a murder suspect when the son of a high-ranking police official who harassed his daughter goes missing.,Nishikant Kamat,"Dramas, International Movies, Thrillers","Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor, Ishita Dutta, Mrunal Jadhav, Prasanna Ketkar, Yogesh Sonam, Prathamesh Parab, Rishabh Chaddha",India,2015.0,TV-14,162 min,8.3/10,Movie
Drive,"A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets.",Tarun Mansukhani,"Action & Adventure, International Movies","Jacqueline Fernandez, Sushant Singh Rajput, Boman Irani, Pankaj Tripathi, Vikramjeet Virk, Sapna Pabbi, Vibha Chhibber, Kaustubh Kumar",India,2019.0,TV-14,119 min,3.7/10,Movie
Dude,Four best friends navigate loss and major life changes – and smoke a lot of weed – during their last two weeks of high school.,Olivia Milch,"Comedies, Dramas, Independent Movies","Lucy Hale, Kathryn Prescott, Alexandra Shipp, Awkwafina, Alex Wolff, Brooke Smith, Jerry MacKinnon, Ronen Rubenstein, Satya Bhabha, Sydney Lucas",United States,2018.0,TV-MA,97 min,5.3/10,Movie
Dukhtar,A young mother embarks on a desperate quest for freedom when she kidnaps her 10-year-old daughter to save her from a tribal marriage.,Afia Nathaniel,"Dramas, Independent Movies, International Movies","Samiya Mumtaz, Mohib Mirza, Saleha Aref, Asif Khan, Adnan Shah, Ajab Gul, Abdullah Jan, Samina Ahmad, Omair Rana, Zeeshan Shafa","Pakistan, Norway, United States",2014.0,TV-14,93 min,6.9/10,Movie
Duniya,"A lawyer defends his childhood friend – and girlfriend's brother – in a murder case, unaware of his own deep connection to the attorney he’s up against.",Ramesh Talwar,"Action & Adventure, Dramas, International Movies","Dilip Kumar, Rishi Kapoor, Pran, Amrita Singh, Ashok Kumar, Prem Chopra, Amrish Puri, Satyen Kappu, Mac Mohan, Javed Khan",India,1984.0,TV-14,170 min,7.1/10,Movie
Duplicate,"Hilarious mix-ups and deadly encounters ensue when a convict seeks to escape authorities by assuming the identity of his doppelgänger, a perky chef.",Mahesh Bhatt,"Comedies, Dramas, International Movies","Shah Rukh Khan, Juhi Chawla, Sonali Bendre, Farida Jalal, Mohnish Bahl, Tiku Talsania, Gulshan Grover, Sharat Saxena",India,1998.0,TV-14,165 min,5.7/10,Movie
Echcharikkai,"After kidnapping a millionaire’s daughter, two men get swept up in a power struggle as her father enlists a brilliant cop to hunt them down.",Sarjun,"International Movies, Thrillers","Sathyaraj, Varalakshmi Sarathkumar, Kishore Kumar G., Vivek Rajgopal, Jayakumar, Yogi Babu, Soundar, L. Alice",India,2018.0,TV-14,127 min,6.3/10,Movie
Eeda,Two young adults with families on opposite ends of the political spectrum fall in love in a Kerala city torn by violence.,Ajithkumar,"Dramas, International Movies, Romantic Movies","Shane Nigaam, Nimisha Sajayan, Manikandan R. Achari, Alencier Ley Lopez, Sujith Sankar, P. Balachandran, Sudhi Koppa",India,2018.0,TV-14,153 min,7.0/10,Movie
Eerie,"When a student's suicide rattles an all-girls Catholic school, a clairvoyant guidance counselor leans on a ghost to uncover the convent's abusive past.",Mikhail Red,"Horror Movies, International Movies","Bea Alonzo, Jake Cuenca, Maxene Magalona, Charo Santos, Mary Joy Apostol, Gabby Padilla, Gillian Vicencio","Philippines, Singapore",2019.0,TV-14,100 min,4.6/10,Movie
Elaan,"Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers.",K. Ramanlal,"Action & Adventure, Cult Movies, International Movies","Vinod Mehra, Rekha, Vinod Khanna, Helen, Madan Puri, Brahm Bhardwaj",India,1971.0,TV-14,143 min,5.8/10,Movie
Election,Tracy Flick appears to have the election for student council president sewn up until a teacher rounds up a worthy opponent: a popular football player.,Alexander Payne,"Comedies, Independent Movies","Matthew Broderick, Reese Witherspoon, Chris Klein, Jessica Campbell, Phil Reeves, Molly Hagan, Delaney Driscoll, Mark Harelik, Colleen Camp, Frankie Ingrassia",United States,1999.0,R,103 min,7.1/10,Movie
Eli,"With his desperate parents in tow, an 11-year-old boy with a debilitating illness checks into an isolated clinic to undergo experimental therapy.",Ciarán Foy,Horror Movies,"Charlie Shotwell, Lili Taylor, Kelly Reilly, Max Martini, Sadie Sink, Deneen Tyler, Katia Gomez",United States,2019.0,TV-MA,98 min,5.5/10,Movie
Extinction,"Plagued by dreams of an alien invasion, a family man faces his worst nightmare when an extraterrestrial force begins exterminating Earth's inhabitants.",Ben Young,"Action & Adventure, Dramas, Sci-Fi & Fantasy","Michael Peña, Lizzy Caplan, Israel Broussard, Mike Colter, Emma Booth, Lex Shrapnel, Erica Tremblay, Lilly Aspell",United States,2018.0,TV-MA,95 min,6.0/10,Movie
Extraction,A hardened mercenary's mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.,Sam Hargrave,Action & Adventure,"Chris Hemsworth, Rudhraksh Jaiswal, Randeep Hooda, Golshifteh Farahani, Pankaj Tripathi, David Harbour",United States,2020.0,R,117 min,6.9/10,Movie
Fanatyk,"As a son deals with his own struggles, he must calm his father's obsession with fishing before his outlandish behavior ruins the entire family.",Michał Tylka,"Comedies, Dramas, Independent Movies","Piotr Cyrwus, Mikołaj Kubacki, Anna Radwan, Marian Dziędziel, Jan Nowicki, Juliusz Chrząstowski, Małgorzata Krzysica, Jacek Strama",Poland,2017.0,TV-MA,33 min,6.7/10,Movie
Fantastica,The owner of a struggling carnival starts putting on small-time shows to save his wonderland as an old friend asks for help with a magical mission.,Barry Gonzalez,"Comedies, International Movies, LGBTQ Movies","Vice Ganda, Richard Gutierrez, Dingdong Dantes, Bela Padilla",Philippines,2018.0,TV-PG,114 min,4.4/10,Movie
Faraar,"When a man is arrested on arrival in America because authorities mistake him for a wanted gangster, a new friend tries to help him prove his innocence.",Baljit Singh Deo,"Action & Adventure, Dramas, International Movies","Kainaat Arora, Jaggi Singh, Gippy Grewal",Australia,2015.0,TV-14,146 min,5.5/10,Movie
Fashion,A small-town girl finally realizes her dream of becoming a famous supermodel but soon finds there's a price for her glamorous new life.,Madhur Bhandarkar,"Dramas, International Movies","Priyanka Chopra, Kangana Ranaut, Mugdha Godse, Arbaaz Khan, Arjan Bajwa, Raj Babbar, Kiran Juneja, Samir Soni",India,2008.0,TV-MA,158 min,7.0/10,Movie
Fatherhood,"A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own. Inspired by a true story.",Paul Weitz,Dramas,"Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise, Frankie Faison, Anthony Carrigan, Paul Reiser, Melody Hurd",United States,2021.0,PG-13,111 min,6.9/10,Movie
Fatima,"In 1917 Portugal, visions of the Virgin Mary come to three children whose message of faith raises doubts in their family and angers authorities.",Marco Pontecorvo,"Dramas, Faith & Spirituality","Joaquim de Almeida, Goran Visnjic, Stephanie Gil, Alejandra Howard, Jorge Lamelas, Lúcia Moniz, Marco D'Almeida, Joana Ribeiro, Carla Chambel, Elmano Sancho, Harvey Keitel, Sonia Braga","Portugal, United States",2020.0,PG-13,113 min,6.8/10,Movie
Fatso,"Killed too soon due to a clerical error in heaven, a man is sent back to earth with a new lease on life, this time in the body of his portly friend.",Rajat Kapoor,"Comedies, Dramas, International Movies","Ranvir Shorey, Gul Panag, Purab Kohli, Neil Bhoopalam, Gunjan Bakshi, Saurabh Shukla, Atul Kumar, Brijendra Kala, Bharati Achrekar, Rahul Vohra",India,2012.0,TV-14,97 min,5.6/10,Movie
Fearless,A teen gamer is forced to level up to full-time babysitter when his favorite video game drops three superpowered infants from space into his backyard.,Cory Edwards,"Children & Family Movies, Comedies","Yara Shahidi, Miles Robbins, Miguel J. Pimentel, Gabrielle Union, Jadakiss, Tom Kenny, Angie Martinez, Harland Williams, Fat Joe, Amari McCoy, Dwyane Wade",Canada,2020.0,TV-Y7,92 min,4.7/10,Movie
Felon,"After killing a burglar while trying to protect his family, regular guy Wade is convicted of involuntary manslaughter and thrown into prison.",Ric Roman Waugh,"Action & Adventure, Dramas","Stephen Dorff, Val Kilmer, Harold Perrineau, Marisol Nichols, Anne Archer, Nick Chinlund, Nate Parker, Johnny Lewis, Sam Shepard, Jake Walker, Joey Villasenor, Antonio Leyba, Mike Seal, Richard Caruso, Kevin Wiggins, Larnell Stovall, Mara Holguin, Elton Walker, Brittany Perrineau, Esodie Geiger, Jermaine Washington, Greg Serano, Brian Keith Gamble, Mark Sivertsen, Carrie Fleming, Adam Taylor, Chris Browning, John Koyama, Shawn Prince, Christopher Dempsey, Cynthia Ruffin",United States,2008.0,R,104 min,7.3/10,Movie
Ferry,"Before he built a drug empire, Ferry Bouman returns to his hometown on a revenge mission that finds his loyalty tested — and a love that alters his life.",Cecilia Verheyden,"Dramas, International Movies, Thrillers","Frank Lammers, Elise Schaap, Huub Stapel, Monic Hendrickx, Raymond Thiry, Maarten Heijmans, Yannick van de Velde","Belgium, Netherlands",2021.0,TV-MA,107 min,7.2/10,Movie
Fida,An all-around nice guy finds himself in a dangerous situation after he makes the ultimate sacrifice for the woman he loves in this drama.,Ken Ghosh,"International Movies, Romantic Movies, Thrillers","Fardeen Khan, Kareena Kapoor, Shahid Kapoor, Kim Sharma, Akhilendra Mishra",India,2004.0,TV-14,117 min,5.4/10,Movie
Fierce,"A gifted young singer becomes an instant sensation on a popular talent show. But her real goal is earning the love of her father, a member of the jury.",Anna Wieczur-Bluszcz,"Comedies, Dramas, International Movies","Katarzyna Sawczuk, Maciej Zakościelny, Anita Sokołowska, Julia Kamińska, Tomasz Karolak, Maria Pakulnis, Barbara Wypych, Wojciech Solarz, Adrian Majewski, Michał Piprowski, Urszula Dudziak, Krzysztof Ibisz",Poland,2020.0,TV-MA,118 min,5.3/10,Movie
Fighting,"When Shawn MacArthur, a hustler of counterfeit merchandise in New York, meets seasoned street-fighting coach Harvey Boarden, his whole life changes.",Dito Montiel,"Action & Adventure, Dramas, Sports Movies","Channing Tatum, Terrence Howard, Luis Guzmán, Zulay Henao, Brian White, Cung Le, Michael Rivera, Flaco Navaja, Peter Anthony Tambakis, Anthony DeSando",United States,2009.0,PG-13,105 min,5.5/10,Movie
Firebrand,"While she successfully advocates for her female clients in difficult divorce cases, a lawyer’s trauma from sexual assault impacts her own marriage.",Aruna Raje,"Dramas, International Movies","Usha Jadhav, Girish Kulkarni, Sachin Khedekar, Rajeshwari Sachdev, Rushad Rana, Mrunal Oak",India,2019.0,TV-MA,117 min,5.2/10,Movie
Fireworks,"Middle schooler Nazuna desperately wants to run away with her classmate Norimichi, who somehow turns back time on this fateful summer's day.","Akiyuki Shinbo, Nobuyuki Takeuchi","Anime Features, Romantic Movies","Yuki Kaji, Nobuo Tobita, Michiko Neya, Mitsuru Miyamoto, Fumihiko Tachiki, Shintaro Asanuma, Takahiro Sakurai, Kana Hanazawa, Toshiyuki Toyonaga, Suzu Hirose, Shinichiro Miki, Mamoru Miyano, Takako Matsu, Masaki Suda",Japan,2017.0,TV-PG,91 min,5.4/10,Movie
Fitoor,A young artist falls for an aristocratic young woman whose bitter mother has trained her in the art of breaking hearts.,Abhishek Kapoor,"Dramas, International Movies, Romantic Movies","Aditya Roy Kapoor, Katrina Kaif, Tabu, Rahul Bhatt, Lara Dutta, Akshay Oberoi, Aditi Rao Hydari, Ajay Devgn",India,2016.0,TV-14,124 min,5.6/10,Movie
Fiza,"Fiza's brother disappears during Mumbai's horrifying 1993 riots. Each day, Fiza and her widowed mother hope that he will return.",Khalid Mohamed,"Dramas, International Movies, Music & Musicals","Karisma Kapoor, Jaya Bhaduri, Hrithik Roshan, Neha, Asha Sachdev, Bikram Saluja, Isha Koppikar, Johny Lever, Sushmita Sen, Manoj Bajpayee",India,2000.0,TV-14,163 min,6.2/10,Movie
Flipped,"Bryce and Juli first meet as children, with Juli having a crush on Bryce. As they mature, it appears their bond may blossom into something more.",Rob Reiner,"Comedies, Dramas, Romantic Movies","Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, John Mahoney, Penelope Ann Miller, Aidan Quinn, Kevin Weisman, Morgan Lily, Ryan Ketzner",United States,2010.0,PG,90 min,7.8/10,Movie
Forensic,"A pair of officers with history navigates clues from the past, false leads and a ticking clock to nab an elusive serial killer who targets young girls.","Akhil Paul, Anas Khan","International Movies, Thrillers","Tovino Thomas, Mamtha Mohandas, Renji Panicker, Saiju Kurup, Reba Monica John, Pratap Pothen, Giju John, Sreekanth Murali",India,2020.0,TV-14,132 min,6.7/10,Movie
Forgotten,"When his abducted brother returns seemingly a different man with no memory of the past 19 days, Jin-seok chases after the truth behind the kidnapping.",Hang-Jun Jang,"Dramas, International Movies, Thrillers","Ha-neul Kang, Moo-Yul Kim, Young-hee Na, Seong-kun Mun, Myung-Ryul Nam, Eun-woo Lee, Chan-bi Jung, Go Choi, Seong-il Bae, Soon-won Lee",South Korea,2017.0,TV-MA,109 min,7.3/10,Movie
Fractured,"After his wife and injured daughter disappear from an ER, a man conducts a panicked search and becomes convinced the hospital is hiding something.",Brad Anderson,Thrillers,"Sam Worthington, Lily Rabe, Stephen Tobolowsky, Adjoa Andoh, Lucy Capri, Lauren Cochrane, Shane Dean",United States,2019.0,TV-MA,100 min,6.2/10,Movie
Freaks,"Hidden away by her eccentric father, a mysterious young girl uncovers frightening truths when she starts to make contact with the outside world.","Adam B. Stein, Zach Lipovsky","Independent Movies, Sci-Fi & Fantasy, Thrillers","Emile Hirsch, Bruce Dern, Lexy Kolker, Grace Park, Amanda Crew, Aleks Paunovic, Michelle Harrison","United States, Canada",2018.0,R,105 min,6.8/10,Movie
Friendsgiving,A quiet holiday dinner among friends turns into a chaotic night of illicit activity and compromising situations when uninvited guests crash the party.,Nicol Paone,Comedies,"Malin Akerman, Kat Dennings, Aisha Tyler, Jane Seymour, Jack Donnelly, Chelsea Peretti, Christine Taylor, Ryan Hansen, Deon Cole, Wanda Sykes",United States,2020.0,R,95 min,4.1/10,Movie
Friendship,"Best friends since childhood, a righteous cop and a lawyer who represents criminals in court become rivals when they fall for the same woman.",Raj Khosla,"Action & Adventure, Dramas, International Movies","Amitabh Bachchan, Shatrughan Sinha, Zeenat Aman, Prem Chopra, Amrish Puri, Helen, Pran, Gajanan Jagirdar, Sajjan, Iftekhar",India,1980.0,TV-14,161 min,6.4/10,Movie
Fronteras,"When a new, deadly narcotic sweeps the American Southwest, a Border Patrol agent must contend with a task force that challenges his duties and morals.",Andrew Dean,"Dramas, Independent Movies, Thrillers","Steve Oropeza, Steven Sean Garland, Wade Everett, Randy Green, Cortez Chappell, Tori Osborn, Larry Coulter, Cris Acosta",United States,2018.0,TV-MA,106 min,3.9/10,Movie
FTA,"The restored documentary captures the Pacific leg of the 1971 anti-Vietnam War ""Free the Army"" comedy tour and experiences on both sides of the stage.",Francine Parker,Documentaries,"Jane Fonda, Donald Sutherland, Pamela Donegan, Len Chandler, Michael Alaimo, Holly Near, Paul Mooney, Rita Martinson",United States,1972.0,TV-MA,104 min,6.3/10,Movie
Fuga,"A struggling music student discovers and tries to complete an unfinished symphony begun by a famous composer, whose career was ended by a past trauma.",Pablo Larraín,"Dramas, Independent Movies, International Movies","Benjamín Vicuña, Gastón Pauls, Alfredo Castro, Francisca Imboden, Héctor Noguera, María Izquierdo, Willy Semler, Alejandro Trejo, Mateo Iribarren, Marcial Tagle, Paulina Urrutia","Argentina, Chile",2006.0,TV-MA,112 min,6.4/10,Movie
Fukrey,Four young male friends tackle the challenges and unexpected catastrophes of growing up clueless in this music-packed Bollywood teen drama.,Mrighdeep Singh Lamba,"Action & Adventure, Comedies, Dramas","Pulkit Samrat, Manjot Singh, Ali Fazal, Varun Sharma, Richa Chadda, Priya Anand, Vishakha Singh, Pankaj Tripathi",India,2013.0,TV-14,135 min,6.7/10,Movie
Funan,"Separated from their young son during the brutal Khmer Rouge revolution, a couple must find ways to endure while searching for their child.",Denis Do,"Dramas, International Movies","Bérénice Bejo, Louis Garrel, Colette Kieffer, Aude-Laurence Clermont Biver, Brice Montagne, Franck Sasonoff, Hervé Sogne, Maxime Baudoin, Tom Trouffier, Lila Lacombe, Céline Ronté, Emilie Marié, Thierry Jahn","France, Belgium, Luxembourg, Cambodia, ",2018.0,TV-14,87 min,6.7/10,Movie
Furie,"When traffickers kidnap her daughter from their village, vengeful Hai Phuong returns to Saigon – and her outlaw roots – to take down the abductors.",Le Van Kiet,"Action & Adventure, Dramas, International Movies","Ngo Thanh Van, Phan Thanh Nhien, Mai Cat Vi, Thanh Hoa, Pham Anh Khoa",Vietnam,2019.0,TV-MA,97 min,6.1/10,Movie
Game,"A tycoon accuses three strangers of killing his daughter but mysteriously dies before he can expose them, sparking a tangled hunt for the real culprit.",Abhinay Deo,"International Movies, Thrillers","Abhishek Bachchan, Kangana Ranaut, Anupam Kher, Boman Irani, Jimmy Shergill, Shahana Goswami, Gauhar Khan, Sarah-Jane Dias",India,2011.0,TV-14,135 min,5.3/10,Movie
Gangaajal,"Posted to a small, crime-ridden town, a cop soon learns that cleaning up the system also means confronting the corruption among police and politicians.",Prakash Jha,"Dramas, International Movies","Ajay Devgn, Gracy Singh, Mohan Agashe, Mohan Joshi, Ayub Khan, Akhilendra Mishra, Mukesh Tiwari, Yashpal Sharma, Brij Gopal, Anita Kanwal",India,2003.0,TV-MA,148 min,7.7/10,Movie
Garbage,The lives of a fundamentalist online troll and a woman reeling from a sex tape gone viral become dangerously intertwined in this provocative thriller.,Qaushiq Mukherjee,"Dramas, Independent Movies, International Movies","Tanmay Dhanania, Trimala Adhikari, Satarupa Das, Satchit Puranik, Gitanjali Dang, Shruti Viswan, Nikhil Chopra, Krish Moitra",India,2018.0,TV-MA,109 min,3.3/10,Movie
Genius,Extreme pressure from his father to excel at school during childhood has dangerous psychological effects on a brilliant but suicidal man’s adult life.,Suseenthiran,"Dramas, Independent Movies, International Movies","Roshan, Priyaa Lal, Aadukalam Naren, Singam Puli, Meera Krishnan, Jayaprakash",India,2018.0,TV-14,96 min,6.2/10,Movie
Ghadi,"When the father of a boy with Down syndrome resists his neighbors' efforts to have the child institutionalized, miraculous events begin to occur.",Amin Dora,"Comedies, Dramas, International Movies","Georges Khabbaz, Lara Rain, Emmanuel Khairallah, Samir Youssef, Camille Salameh, Rodrigue Sleiman, Caroline Labaki, Giselle Boueiz, Christine Choueiri",Lebanon,2013.0,TV-MA,101 min,7.3/10,Movie
Ghanchakkar,"Former con artist Sanju surrounds himself with the finer things, a blissful life troubled by only one thing: his wife, who wants even more.",Raj Kumar Gupta,"Comedies, International Movies, Thrillers","Emraan Hashmi, Vidya Balan, Rajesh Sharma, Namit Das, Parvin Dabas",India,2013.0,TV-MA,129 min,5.7/10,Movie
